Time;pH1_001_PV;O2_flow_001.PV;DO1_001.PV;CO2_flow_001.PV;BioR_temp_001.PV;Air_flow_001.PV;BioR_stirring_001.SP;BioOUT_pump_001.SP;BioIN_pump_001.SP;Base_pump_001.SP
21/09/2024 10:54:55.610;;;94;;;;;;;
21/09/2024 10:56:41.811;;;94;;;;;;;
21/09/2024 10:58:49.438;;;;;37.0;;;;;
21/09/2024 11:00:05.052;;;;;36.9;;;;;
21/09/2024 11:00:14.650;;;;20.1;;;;;;
21/09/2024 11:00:38.120;;;94;;;;;;;
21/09/2024 11:04:45.553;;;;14.3;;;;;;
21/09/2024 11:04:54.434;;;;;36.9;;;;;
21/09/2024 11:19:11.780;;;94;;;;;;;
21/09/2024 11:47:55.704;7.39;;;;;180;;;;
21/09/2024 11:51:11.422;;;;;37.2;;;;;
21/09/2024 11:51:53.769;;;94;;;;;;;
21/09/2024 11:55:09.963;;;;30.8;;;;;;
21/09/2024 11:57:12.874;;;94;;;;;;;
21/09/2024 11:57:56.565;;;;20.0;;;;;;
21/09/2024 11:59:51.554;;;;;37.1;;;;;
21/09/2024 12:00:01.889;;;;;36.9;;;;;
21/09/2024 12:02:30.983;;;94;;;;;;;
21/09/2024 12:07:42.687;;;;;36.9;;;;;
21/09/2024 12:13:19.904;;;;23.7;;;;;;
21/09/2024 12:15:25.480;;;94;;;;;;;
21/09/2024 12:46:57.093;;;;;37.1;;;;;
21/09/2024 12:47:55.752;7.39;;;;;180;;;;
21/09/2024 12:53:23.804;;;94;;;;;;;
21/09/2024 12:53:54.390;;;;30.3;;;;;;
21/09/2024 12:53:54.811;;;;13.8;;;;;;
21/09/2024 12:53:57.089;;;;20.0;;;;;;
21/09/2024 12:59:32.714;;;;;37.1;;;;;
21/09/2024 13:00:02.817;;;;;37.0;;;;;
21/09/2024 13:02:26.928;;;94;;;;;;;
21/09/2024 13:03:42.433;;;;;36.9;;;;;
21/09/2024 13:03:45.225;;;;28.4;;;;;;
21/09/2024 13:08:39.115;;;94;;;;;;;
21/09/2024 13:24:32.576;;;;;37.1;;;;;
21/09/2024 13:47:55.786;7.39;;;;;180;;;;
21/09/2024 13:55:32.027;;;;15.5;;;;;;
21/09/2024 13:55:34.731;;;;20.0;;;;;;
21/09/2024 13:57:10.134;;;94;;;;;;;
21/09/2024 13:58:26.213;;;94;;;;;;;
21/09/2024 13:59:45.237;;;;;37.0;;;;;
21/09/2024 14:00:05.217;;;;20.1;;;;;;
21/09/2024 14:01:17.538;;;;;37.1;;;;;
21/09/2024 14:08:57.142;;;94;;;;;;;
21/09/2024 14:20:39.086;;;;29.3;;;;;;
21/09/2024 14:31:32.014;;;94;;;;;;;
21/09/2024 14:37:29.202;;;;;37.2;;;;;
21/09/2024 14:39:49.319;;;93;;;;;;;
21/09/2024 14:44:35.537;;;;14.4;;;;;;
21/09/2024 14:45:20.336;;;;;36.8;;;;;
21/09/2024 14:47:55.853;7.39;;;;;180;;;;
21/09/2024 14:58:57.257;;;94;;;;;;;
21/09/2024 14:59:04.342;;;;;37.0;;;;;
21/09/2024 14:59:54.048;;;;20.1;;;;;;
21/09/2024 15:00:45.087;;;;;37.1;;;;;
21/09/2024 15:01:18.594;;;94;;;;;;;
21/09/2024 15:04:13.170;;;93;;;;;;;
21/09/2024 15:08:21.090;;;;23.8;;;;;;
21/09/2024 15:22:16.311;;;;28.8;;;;;;
21/09/2024 15:25:40.623;;;94;;;;;;;
21/09/2024 15:35:35.834;;;;;36.9;;;;;
21/09/2024 15:47:55.871;7.39;;;;;180;;;;
21/09/2024 15:53:11.196;;;;16.0;;;;;;
21/09/2024 15:56:16.889;;;;;37.2;;;;;
21/09/2024 15:58:50.078;;;;20.0;;;;;;
21/09/2024 15:59:24.214;;;93;;;;;;;
21/09/2024 15:59:51.592;;;;;37.0;;;;;
21/09/2024 16:00:05.507;;;;;37.1;;;;;
21/09/2024 16:00:18.288;;;93;;;;;;;
21/09/2024 16:06:15.130;;;;20.1;;;;;;
21/09/2024 16:07:05.523;;;;29.6;;;;;;
21/09/2024 16:08:27.842;;;;13.2;;;;;;
21/09/2024 16:25:03.132;;;;;36.9;;;;;
21/09/2024 16:47:55.891;7.39;;;;;180;;;;
21/09/2024 16:48:43.328;;;94;;;;;;;
21/09/2024 16:51:37.831;;;;;37.2;;;;;
21/09/2024 16:57:31.212;;;93;;;;;;;
21/09/2024 16:57:34.321;;;;20.0;;;;;;
21/09/2024 16:59:57.737;;;;;37.1;;;;;
21/09/2024 17:00:00.915;;;;;37.0;;;;;
21/09/2024 17:01:46.323;;;94;;;;;;;
21/09/2024 17:12:57.759;;;;25.6;;;;;;
21/09/2024 17:12:58.649;;;;16.0;;;;;;
21/09/2024 17:27:54.582;;;94;;;;;;;
21/09/2024 17:34:57.928;;;;;36.8;;;;;
21/09/2024 17:47:55.540;7.39;;;;;180;;;;
21/09/2024 17:52:10.753;;;;31.2;;;;;;
21/09/2024 17:56:15.879;;;;;37.2;;;;;
21/09/2024 17:56:52.456;;;93;;;;;;;
21/09/2024 17:58:21.147;;;93;;;;;;;
21/09/2024 17:58:54.260;;;;;37.0;;;;;
21/09/2024 17:59:16.476;;;;20.0;;;;;;
21/09/2024 18:00:12.568;;;;;37.1;;;;;
21/09/2024 18:00:31.643;;;93;;;;;;;
21/09/2024 18:04:44.994;;;;24.5;;;;;;
21/09/2024 18:07:28.299;;;;14.9;;;;;;
21/09/2024 18:19:07.209;;;93;;;;;;;
21/09/2024 18:29:52.457;;;;28.1;;;;;;
21/09/2024 18:44:48.267;;;;;36.9;;;;;
21/09/2024 18:47:55.561;7.39;;;;;180;;;;
21/09/2024 18:50:23.256;;;94;;;;;;;
21/09/2024 18:51:02.684;;;;;37.2;;;;;
21/09/2024 18:58:08.501;;;94;;;;;;;
21/09/2024 18:58:42.711;;;;20.0;;;;;;
